system_name,period_days
KOI-55,0.240104
HD 177830,110.9
ups And,1276.46
CoRoT-12,2.828042
CoRoT-13,4.03519
WASP-23,2.9444256
Kepler-281,14.646008
Kepler-276,48.648
Kepler-139,157.072878
Kepler-353,8.410894
Kepler-1805,8.847940445
Kepler-48,42.8961
Kepler-100,6.88734
Kepler-102,27.453592
Kepler-1687,5.77954
GJ 341,7.57686
Kepler-1761,4.043540001
Kepler-988,17.76080053
Kepler-994,1.151166506
HD 46375,3.023573
HD 41004 A,963.0
HD 41004 B,1.3283
Kepler-1014,16.57110363
Kepler-338,24.310856
HD 114783,493.7
HD 19994,466.2
HD 181433,2172.0
HD 196885 A,1333.0
Kepler-34,288.822
Kepler-35,131.458
HD 129445,1840.0
HAT-P-20,2.875317
HAT-P-23,1.212884
Kepler-339,6.988055
Kepler-881,4.44448017
TOI-2411,0.7826942
gam1 Leo,428.5
BD+20 2457,621.99
KELT-1,1.217514
BD+20 274,578.2
Kepler-127,29.393195
Kepler-324,51.805612
Kepler-973,49.6077331
Kepler-402,11.242861
Kepler-467,24.99324193
HAT-P-55,3.5852313
K2-349,9.032178
Kepler-140,3.25427
Kepler-206,7.781987
Kepler-1715,35.59730148
Kepler-161,7.06424
Kepler-122,21.587475
Kepler-450,28.454851
Kepler-1746,321.2120056
Kepler-332,34.21154
Kepler-826,4.48758907
XO-2 N,2.61586178
Kepler-346,23.851549
Kepler-1319,2.886762645
Kepler-1366,2.164570968
Kepler-1868,211.0339966
Kepler-136,11.5789
Kepler-221,2.795906
Kepler-267,6.87745
GJ 414 A,749.83
Kepler-327,13.969457
Kepler-478,13.2217576
Kepler-114,8.041
Kepler-114,5.188549
Kepler-1321,5.720920086
Kepler-186,129.9441
Kepler-1401,11.20066445
Kepler-928,3.932461302
TOI-4443,1.8498567
Kepler-404,14.751166
Kepler-209,41.749882
Kepler-117,50.790391
Kepler-272,2.971353
Kepler-292,3.715335
Kepler-1256,12.4127754
TOI-2580,3.39775
Kepler-644,3.173917103
HATS-24,1.3484978
CFBDSIR J145829+101343,10037.5
Kepler-1487,7.31946363
Kepler-150,30.826557
Kepler-394,12.130686
Kepler-62,122.3874
Kepler-1571,3.38555488
KOI-94,10.423648
Kepler-80,7.05246
Kepler-1725,16.71990013
Kepler-220,4.159807
HD 120084,2142.0
Kepler-980,11.55102504
HD 73267,17071.78045
WASP-61,3.8559
Kepler-1154,8.45808312
Kepler-520,5.21104261
GJ 163,603.95116
Kepler-368,72.379334
Kepler-335,67.844469
TYC 1422-614-1,198.4
Kepler-1257,2.668313762
TOI-4495,5.1830043
Kepler-24,18.998355
Kepler-279,54.414
Kepler-281,148.2720032
Kepler-396,42.994
Kepler-1262,8.67900242
TOI-7041,9.691
Kepler-145,42.882
Kepler-84,8.726
HD 209458,3.52474859
K2-136,7.9752
Kepler-231,10.065275
Kepler-26,46.827915
Kepler-350,26.136
Kepler-85,12.51
Kepler-1660 A,239.5044
Kepler-1372,1.311555568
Kepler-838,15.74957994
K2-332,17.70632
RR Cae,4343.5
Kepler-211,6.04045
Kepler-162,19.446355
Kepler-1385,2.88879862
TOI-431,0.490047
HD 45364,345.43
HD 83443,2.985628
Kepler-1424,29.6091744
HD 22496,5.09071
HD 13908,931.0
Kepler-1545,163.692349
Kepler-1811,76.42230225
KOBE-1,8.5399
Kepler-1277,40.8365012
TOI-5210,4.5661061
Kepler-359,25.563222
Kepler-60,8.9187
Kepler-414,4.7
Kepler-691,8.114379
Kepler-705,56.0560538
Kepler-1350,1.766789062
Kepler-319,4.362705
Kepler-324,13.97939968
Kepler-342,39.459357
HD 219139,275.5
Kepler-53,18.6489525
Kepler-880,11.8061737
Kepler-312,1.772419
Kepler-967,198.7112502
Kepler-190,2.019999
Kepler-220,9.034199
HD 134606,58.883
Kepler-770,4.15244722
Kepler-1219,16.10467749
K2-285,7.138048
Kepler-1721,4.592380047
Kepler-31,20.8613
Kepler-651,21.38521506
Kepler-367,53.578637
Kepler-33,41.02902
Kepler-27,31.3309
HD 20794,647.6
Kepler-288,19.305772
Kepler-232,4.431222
Kepler-294,6.6264
Kepler-1925,46.71640015
Kepler-48,4.778
Kepler-29,10.33974
Kepler-454,524.19
Kepler-1266,4.86631012
Kepler-1559,0.971915428
Kepler-107,14.749143
HATS-4,2.516729
TYC 1422-614-1,559.3
Kepler-1539,133.3036741
HIP 9618,20.772858
K2-6,30.94191
HD 113337,5429.93477
Kepler-242,8.20395
Kepler-1339,1.341555127
TOI-139,11.07085
HIP 38594,3477.768
Kepler-595,25.3029092
Kepler-32,22.7802
Kepler-1788,2.800120115
Kepler-194,52.814973
Kepler-723,4.082275068
Kepler-634,5.16950177
Kepler-873,20.5533844
Kepler-1336,5.77721211
Kepler-194,2.092281
Kepler-206,23.44281
Kepler-120,12.794585
Kepler-317,5.524242
Kepler-423,2.6843285
HD 158996,820.2
Kepler-1959,6.38669014
Kepler-171,4.166972
Kepler-204,14.400974
Kepler-539,125.63243
KOI-351,124.9144
Kepler-28,5.91
Kepler-1097,187.747029
Kepler-93,4.72673978
Kepler-321,13.093921
K2-11,39.93767
Kepler-832,7.1396941
Kepler-346,6.511127
Kepler-325,4.544439
HD 35759,82.467
HIP 74890,822.3
Kepler-343,8.96855
Kepler-54,8.0109434
Kepler-176,12.759712
Kepler-725,39.64372
HD 103720,4.5557
Kepler-360,3.289672
Qatar-1,1.4200242
Kepler-290,36.77031
Kepler-352,6.887279987
AT2021ueyL,4168.69
TOI-7149,2.65206166
Kepler-1388,37.6327084
Kepler-676,11.59822172
Kepler-186,13.342996
HD 145457,176.13
HD 105779,2412.0
TOI-2076,10.355235
Kepler-426,3.21751883
HD 28254,1333.0
K2-183,0.469285
HATS-49,4.1480467
GJ 1151,389.7
Kepler-1893,4.179369926
Kepler-920,100.8274113
Kepler-358,83.488369
Kepler-1480,22.12679948
Kepler-1880,6.309219837
Kepler-304,9.653471
TOI-1422,12.9972
TOI-1347,0.84742346
WASP-140,2.2359835
Kepler-514,5.65179605
KOI-7892,31.8099
WASP-182,3.3769848
Kepler-529,12.8345022
TOI-3629,3.936551
Kepler-1679,9.75376
Kepler-1529,5.33905686
Kepler-193,50.697494
Kepler-1260,19.1187753
HD 80883,6383.78352
Kepler-265,6.846262
Kepler-749,17.31716585
TOI-1194,2.3106446
Kepler-84,12.883
Kepler-1011,5.753221974
HD 65216,577.6
HD 33844,916.0
Kepler-1743,7.649710178
HIP 54373,15.144
Kepler-1232,26.7839183
K2-254,4.09639
CoRoT-4,9.20205
K2-132,9.1751
TOI-1117,8.665
K2-377,12.832235
Kepler-151,15.228958
Kepler-217,3.88689525
HD 40956,578.6
GJ 27.1,15.819
HD 82943,441.47
Kepler-1573,2.6157554
Kepler-1489,0.680741
EPIC 212424622,18.0983
Kepler-1915,13.83539963
TOI-4487 A,3.9540709
K2-218,8.679885
TOI-2374,4.31361
HD 154391,5163.0
Kepler-292,20.834237
Kepler-105,7.12592
Kepler-1281,3.11602791
KELT-18,2.8717518
KIC 8121913,3.294601
Kepler-519,24.3078946
Kepler-385,15.163161
Kepler-170,16.665863
HD 42813,3.5379559
Kepler-1111,8.79617863
HATS-7,3.185315
Kepler-1417,20.3505213
Kepler-139,15.771044
Kepler-1272,51.1309704
Kepler-159,10.139623
GJ 229,579.47495
Kepler-397,135.498527
Kepler-122,37.993273
HD 49674,4.94737
Kepler-1154,5.1856142
55 Cnc,44.3989
Kepler-1719,6.149559975
